created_at,text,cleaned_text
Tue May 06 12:17:54 +0000 2025,@_runlint Lah mas jalan depan alun alun aja ada yg bolong plus masih ada lampu penerang jalan yg mati. Real kota mati wkwk,user jalan alun alun bolong plus lampu terang jalan mati real kota mati wkwk
Tue May 06 11:31:19 +0000 2025,@sahabatpju kak min ada lampu jalan mati. Lokasi saya DM ya https://t.co/Sinz1QgN7G,user kak min lampu jalan mati lokasi url
Tue May 06 10:42:13 +0000 2025,@convomf Tips aman bawa motor bagi pemula - gausah tengil di jalan kalau masih belum ngerti kode yang biasanya dikasih ke sesama pengendara - sebelum dan setelah belok cek lampu sen nya udah mati/nyala belom - cek spion kanan kiri,user tips aman bawa motor mula gausah tengil jalan ngerti kode kasih kendara belok cek lampu sen mati nyala bom cek spion kanan kiri
Tue May 06 06:51:30 +0000 2025,@Heraloebss Yang jalan desa nya penuh dg lubang Yang insfrastruktur seperti penerangan lampu jalan desa mati Ni biang keroknya Dana desa di embat Makanya seneng pas ketok palu jabatan kepala desa di ganti 9 taon Tujuan na kan ini,user jalan desa penuh lubang insfrastruktur terang lampu jalan desa mati biang kerok dana desa embat neng ketok palu jabat kepala desa ganti taon tuju
Tue May 06 03:43:58 +0000 2025,Meskipun hujan tram ini tetep bisa jalan. Tapi kalo anginnya udah kenceng banget kayak 12 m/s yaudah keretanya kudu break dulu demi safety. Operasionalnya pake listrik dan PTFI juga punya cadangan tenaga buat jaga-jaga kalo mati lampu.,hujan tram tetep jalan kalo angin kenceng kayak yaudah kereta kudu break safety operasional pakai listrik ptfi cadang tenaga jaga jaga kalo mati lampu
Tue May 06 02:17:06 +0000 2025,elok mati jela orang suka langgar lampu merah ni apaa babi yang dah hijau pula kena tunggu sampai kosong baru boleh jalan,elok mati jela orang suka langgar lampu merah apaa babi dah hijau kena tunggu kosong jalan
Mon May 05 15:36:22 +0000 2025,min @pln_123 jalan bungur besar 12 kemayoran jakarta pusat kode pos 10620 sudah mati lampu sekitar kurleb 1 jam ini kapan nyalanya min ?,min user jalan bungur besar mayor jakarta pusat kode pos mati lampu kurleb jam nyala min
Mon May 05 13:17:13 +0000 2025,leh motorku tiba mesinnya berenti tapi ga mati kalo ga digas (ky mode idling stop) itu tuh kenapa ya pdhl udah jalan 20 menitan normal tiba abis dr lampu merah lama ga digas mati pdhl idling stop nya udh aku off in,leh motor mesin renti mati kalo gas mode idling stop tuh pdhl jalan menit normal abis lampu merah gas mati pdhl idling stop udh off
Mon May 05 12:32:15 +0000 2025,Temennya malu gara gara temennya selfie selfie di jalan pas mati lampu dimana jalan itu lagi rame ,temennya malu gara gara temennya selfie selfie jalan mati lampu jalan rame
Mon May 05 11:44:36 +0000 2025,@DediMulyadi71 Pak Dedy lampu jalan alternatif Cibubur Depok suka mati.dan juga pak sediakan jembatan menyeberangkan dong dekat perumahan puri Sriwedari suka ada yang ketabrak.,user dedy lampu jalan alternatif cibubur depok suka mati jembatan seberang rumah puri sriwedari suka tabrak
Mon May 05 11:27:08 +0000 2025,@tanyakanrl Si lampu kuning anjeng itu tanda ada masalah di mesin si lampu merah babi tanda overheat. Panteklah dia lampu ini jadi bongkar mesin 2 kali dalam 2 bulan. Pertama karna terpaksa aja bongkar mesin karna mati di jalan random bengkel jauh ternyata mekaniknya puki pasangnya gabener,user lampu kuning anjeng tanda mesin lampu merah babi tanda overheat pantek lampu bongkar mesin karna paksa bongkar mesin karna mati jalan random bengkel mekanik puki pasang gabener
